pool_id,prediction,std,score
9812,2.2253509,0.15677461,0.38747227
9826,2.0831256,0.14249864,0.28595078
9838,2.0225055,0.14702189,0.2393372
9833,2.0211442,0.15698896,0.23826516
9827,2.0187302,0.13677253,0.23636103
9870,1.9166629,0.17892964,0.15234709
13202,1.9075826,0.179305,0.14451933
9936,1.8749082,0.1852857,0.11583412
9861,1.8412721,0.09759733,0.08541918
5216,1.8336141,0.13971409,0.0783633
8509,1.8096764,0.14779064,0.05598128
9844,1.7832104,0.09106824,0.030637503
9864,1.763414,0.11921484,0.011251926
5146,1.7580963,0.108104385,0.0059797764
12265,1.7348074,0.29734793,-0.017404675
9880,1.7286584,0.13466798,-0.023719192
12189,1.7228746,0.28788272,-0.02963078
9889,1.70902,0.10788469,-0.044033766
9903,1.6761497,0.15554456,-0.07898784
12490,1.6718626,0.30020612,-0.08353877
