pool_id,prediction,std,score
8509,-0.08192787,2.2555213,-0.6094776
2665,-1.1905366,3.2116609,-0.620932
3230,-1.1021856,3.1079698,-0.6403372
3316,-0.85520774,2.8771155,-0.6563463
2675,-0.95831853,2.9133976,-0.6895342
3365,-1.0594254,2.9835558,-0.6983535
3348,-1.0524738,2.9722676,-0.70209026
3333,-0.73901296,2.6005995,-0.78099394
3229,-1.0582534,2.8463964,-0.792735
3304,-0.14829512,2.0583968,-0.802252
3357,-1.0135313,2.7846737,-0.81142044
3234,-0.17585675,2.0558672,-0.8247303
3279,-0.056051858,1.9112927,-0.8542932
2749,-0.029366797,1.8566283,-0.8804077
3376,-0.9283053,2.570716,-0.92384374
3363,-0.47382778,2.1882875,-0.93252546
3246,-0.59520227,2.2564323,-0.9612868
918,-0.17578493,1.8986686,-0.9617818
2930,0.043132078,1.6823996,-0.97969747
948,-0.15974745,1.8653083,-0.97972965
