pool_id,prediction,std,score
2665,-1.1905366,3.2116609,3.2116609
3230,-1.1021856,3.1079698,3.1079698
3365,-1.0594254,2.9835558,2.9835558
3348,-1.0524738,2.9722676,2.9722676
2675,-0.95831853,2.9133976,2.9133976
3316,-0.85520774,2.8771155,2.8771155
3229,-1.0582534,2.8463964,2.8463964
3357,-1.0135313,2.7846737,2.7846737
3333,-0.73901296,2.6005995,2.6005995
3376,-0.9283053,2.570716,2.570716
3380,-0.89902097,2.4422426,2.4422426
3246,-0.59520227,2.2564323,2.2564323
8509,-0.08192787,2.2555213,2.2555213
3363,-0.47382778,2.1882875,2.1882875
3244,-0.52975976,2.1658535,2.1658535
4981,-0.58752644,2.1346204,2.1346204
4411,-0.77064997,2.1142066,2.1142066
3304,-0.14829512,2.0583968,2.0583968
3234,-0.17585675,2.0558672,2.0558672
3373,-0.5311079,1.9808095,1.9808095
