pool_id,prediction,std,score
13206,-7.8193594e+20,inf,inf
3045,-8.404344e+24,inf,inf
3069,-8.404344e+24,inf,inf
12850,-1.0822919e+23,inf,inf
12851,-1.0822919e+23,inf,inf
12852,-1.0822919e+23,inf,inf
12853,-1.0822919e+23,inf,inf
12857,2.266022e+24,inf,inf
12865,-1.0822919e+23,inf,inf
12866,-1.0822919e+23,inf,inf
12868,-1.0822919e+23,inf,inf
12871,-1.0822919e+23,inf,inf
12872,-1.0822919e+23,inf,inf
12921,-1.0822919e+23,inf,inf
13070,-6.881914e+23,inf,inf
3144,-8.404344e+24,inf,inf
3221,-8.404344e+24,inf,inf
3238,-8.404344e+24,inf,inf
3242,-8.404344e+24,inf,inf
12818,-1.0822919e+23,inf,inf
