pool_id,prediction,std,score
13206,-9.000598e+21,inf,inf
2821,-4.215178e+19,inf,inf
2825,-9.673954e+25,inf,inf
2852,-4.215178e+19,inf,inf
2855,-4.215178e+19,inf,inf
3033,-4.215178e+19,inf,inf
3035,-4.215178e+19,inf,inf
3037,-4.215178e+19,inf,inf
3045,-9.673954e+25,inf,inf
3069,-9.673954e+25,inf,inf
3102,-4.215178e+19,inf,inf
3103,-4.215178e+19,inf,inf
3114,-4.215178e+19,inf,inf
3119,-4.215178e+19,inf,inf
3128,-4.215178e+19,inf,inf
3130,-4.215178e+19,inf,inf
12845,-1.2457898e+24,inf,inf
12846,-1.2457898e+24,inf,inf
12847,-1.2457898e+24,inf,inf
12848,-1.2457898e+24,inf,inf
