Index,Prediction,Uncertainty,Score
12614.0,4.952224818499792e+18,5.71184950903654e+164,5.71184950903654e+164
4040.0,1.3893132406462809e-15,2.9001631002749525e+129,2.9001631002749525e+129
12576.0,2.759890061186499e-13,3.338469971608531e+126,3.338469971608531e+126
3935.0,1.408623958751157e+28,1.9461247910773032e+111,1.9461247910773032e+111
12832.0,3791596573849608.0,1.9115208471074655e+100,1.9115208471074655e+100
12607.0,121.15587177008796,2.2493019042289983e+96,2.2493019042289983e+96
11429.0,1.5573617053436777e-11,3.1065402715044646e+93,3.1065402715044646e+93
6974.0,1.1733098640581943e-05,1.660053913307406e+93,1.660053913307406e+93
1772.0,4.0931511610174785e-52,8.803547257490252e+91,8.803547257490252e+91
6591.0,34751014.965992644,2.486675432817857e+87,2.486675432817857e+87
784.0,1.9076152164189605e+22,1.0034725910725526e+86,1.0034725910725526e+86
1799.0,5.8205950978736174e+20,9.925925548233945e+85,9.925925548233945e+85
12656.0,5.448726399223409e-12,2.9015861929886756e+85,2.9015861929886756e+85
12732.0,4.648759146896856e-16,1.733998525528887e+82,1.733998525528887e+82
1917.0,2.88363110787628e+22,1.941615834794113e+80,1.941615834794113e+80
12473.0,308813.10453225503,1.6369498814029395e+80,1.6369498814029395e+80
6419.0,136560196.51790228,3.2365382141392562e+78,3.2365382141392562e+78
6463.0,390.96551895529205,2.6449946442877007e+77,2.6449946442877007e+77
5391.0,2660769.794238567,4.3649257320342607e+76,4.3649257320342607e+76
6376.0,33806204867.833878,1.6102266902789615e+76,1.6102266902789615e+76
