pool_id,prediction,std,score
2665,0.7905742,1.2731767,-0.6398078
3348,0.7107566,1.3542291,-0.6542342
3229,0.66222584,1.3909945,-0.67109597
3357,0.617941,1.3891025,-0.7140124
3376,0.6039659,1.3877674,-0.72831047
3363,0.9049655,0.9693326,-0.75941503
4411,0.41713685,1.5307101,-0.78143847
3654,0.5738567,1.3465927,-0.79232436
2675,0.84759915,1.005335,-0.7971105
3230,0.9676512,0.82278377,-0.8047052
3365,0.77846366,1.0864669,-0.80576116
3316,0.45606786,1.446158,-0.8187926
3246,0.9002302,0.8411538,-0.87989175
3380,0.40876675,1.4284732,-0.88045573
3244,0.38736182,1.4230117,-0.9066432
3371,0.29701912,1.4711044,-0.9488007
3379,0.410551,1.3467548,-0.9579212
4040,0.67791796,1.0422782,-0.96818626
4267,0.4832471,1.2462136,-0.9827876
3579,0.07500945,1.6342285,-0.99807316
