Index,Prediction,Uncertainty,Score
13083.0,0.0,inf,inf
10.0,5.579739978027332e+147,inf,inf
5139.0,1.003008414493104e-272,inf,inf
5138.0,1.4007909586252877e-297,inf,inf
5137.0,0.0,inf,inf
5463.0,inf,inf,inf
5462.0,inf,inf,inf
5132.0,0.0,inf,inf
5128.0,1.7405795971044927e-110,inf,inf
5127.0,inf,inf,inf
4773.0,5.671632841067119e+139,inf,inf
5155.0,0.0,inf,inf
5152.0,1.0250314877191436e-266,inf,inf
5150.0,0.0,inf,inf
5148.0,1.3234182809213822e-272,inf,inf
4772.0,0.0,inf,inf
13078.0,0.0,inf,inf
13102.0,5.33958680188106e-304,inf,inf
13157.0,5e-324,inf,inf
13158.0,0.0,inf,inf
