pool_id,prediction,std,score
2349,-1.8526176,1.1416203,1.1416203
2299,-1.9119008,0.951213,0.951213
12073,-0.9798981,0.9464872,0.9464872
3392,-1.1394261,0.94095296,0.94095296
12172,-1.1000912,0.9282919,0.9282919
12195,-1.0886152,0.9252749,0.9252749
12603,-0.9343378,0.8885214,0.8885214
12607,-0.94951594,0.875823,0.875823
2201,-1.7721262,0.8666571,0.8666571
2288,-1.6305058,0.8557986,0.8557986
2291,-1.3719623,0.84120256,0.84120256
3563,-1.5671713,0.828637,0.828637
2305,-1.5132971,0.82851726,0.82851726
2239,-1.7776215,0.82800436,0.82800436
12089,-0.7586117,0.82005715,0.82005715
4874,-0.9370367,0.81616294,0.81616294
2358,-1.3890636,0.8060205,0.8060205
3232,-1.6576917,0.79816055,0.79816055
3545,-1.4726824,0.7940633,0.7940633
4319,-0.71179223,0.78613836,0.78613836
