Index,Prediction,Uncertainty,Score
12958.0,1.0776109022915652,0.2169513619134492,1.1915325723971817
12859.0,0.9989777805815304,0.19863818400759148,1.1032219200364988
12981.0,0.9961508101362627,0.13339715897614543,1.0650798378462507
13006.0,0.9438653794361328,0.15581684967327303,1.0249837001757411
12862.0,0.9282173377400708,0.17240695384432303,1.0184150760318993
6866.0,0.774180963737591,0.35126784693957724,0.969487461401728
12966.0,0.8464056275436052,0.20451499076211088,0.9548178050947382
6902.0,0.8745952627386653,0.1352628606831192,0.9448377253343395
7017.0,0.8844792790177065,0.11051232035754233,0.9414597701067516
7141.0,0.8753204827146152,0.1214703683338152,0.9381602294303392
12963.0,0.823211255565931,0.21465680836976664,0.937506793228654
7327.0,0.837962290345027,0.18816221870982408,0.9373082763613684
7195.0,0.8570256354046528,0.1345495372504636,0.92693681514952
7586.0,0.8576501225549789,0.13018708701867063,0.9252103391395404
9425.0,0.8394446008957133,0.12360228053413612,0.903517612074097
7039.0,0.7904000710626734,0.21070848997562971,0.9027448577196376
7305.0,0.8362689082181561,0.12220561304750488,0.8996010115411908
6886.0,0.7146326419191376,0.3244916848242253,0.895064732913949
9426.0,0.8410036941387411,0.1033013612831426,0.8942389587262753
7650.0,0.8259817981179117,0.12988803528127868,0.893475040746839
