Command,Sensor Data
"{'R': 80.0, 'Y': 80.0, 'B': 140.0, 'well': 'A1'}","{'ch410': 459, 'ch440': 1657, 'ch470': 2067, 'ch510': 3210, 'ch550': 4435, 'ch583': 5407, 'ch620': 7747, 'ch670': 6234}"
"{'R': 80.0, 'Y': 70.0, 'B': 150.0, 'well': 'A2'}","{'ch410': 493, 'ch440': 1818, 'ch470': 2273, 'ch510': 3495, 'ch550': 4796, 'ch583': 5805, 'ch620': 8291, 'ch670': 6656}"
"{'R': 120.0, 'Y': 160.0, 'B': 20.0, 'well': 'A3'}","{'ch410': 478, 'ch440': 1623, 'ch470': 2078, 'ch510': 3202, 'ch550': 4583, 'ch583': 6004, 'ch620': 8626, 'ch670': 6759}"
"{'R': 30.0, 'Y': 210.0, 'B': 60.0, 'well': 'A4'}","{'ch410': 529, 'ch440': 1804, 'ch470': 2398, 'ch510': 3917, 'ch550': 5376, 'ch583': 6454, 'ch620': 9055, 'ch670': 7106}"
"{'R': 120.0, 'Y': 120.0, 'B': 60.0, 'well': 'A5'}","{'ch410': 489, 'ch440': 1679, 'ch470': 2138, 'ch510': 3268, 'ch550': 4740, 'ch583': 6059, 'ch620': 8589, 'ch670': 6743}"
