Index,Prediction,Uncertainty,Score
10201.0,7537146776713.684,2.57955333409649e+136,2.57955333409649e+136
7143.0,1.3673373788399139e-15,1.7086293306426448e+127,1.7086293306426448e+127
7885.0,32243485308.044903,1.4382601903618137e+113,1.4382601903618137e+113
7886.0,3003221476.1031156,4.960015340527958e+112,4.960015340527958e+112
2658.0,1.5786263923106678e+32,1.6613133510165586e+107,1.6613133510165586e+107
4282.0,2.986496505292008e+36,5.131402651253021e+102,5.131402651253021e+102
5579.0,61116601064877.32,4.846767006078993e+102,4.846767006078993e+102
5396.0,6.210432358337011e+37,1.509079226844152e+100,1.509079226844152e+100
9465.0,475758577.7453855,8.298107833059605e+98,8.298107833059605e+98
13113.0,8.822307265339468e+25,7.001179630977897e+97,7.001179630977897e+97
4376.0,5416518522863.848,2.9791604077046583e+97,2.9791604077046583e+97
5797.0,2.3226603914933952e+27,5.372115567116908e+93,5.372115567116908e+93
9588.0,1343535083.3877404,5.031259517055971e+93,5.031259517055971e+93
9274.0,1.4286242371218638e-09,1.183603760103122e+93,1.183603760103122e+93
4410.0,2.149319656794291e+20,1.9843314377499176e+91,1.9843314377499176e+91
2641.0,2.1930052185513207e+27,9.897647078518409e+90,9.897647078518409e+90
12491.0,3.4009587622825687e+37,9.998968363020946e+89,9.998968363020946e+89
5633.0,2.8356007136524285e+17,3.0450736264672643e+87,3.0450736264672643e+87
4256.0,5.456446834269405e+37,2.4336408571782202e+85,2.4336408571782202e+85
5191.0,1068541517.107542,8.418903808215405e+84,8.418903808215405e+84
