pool_id,prediction,std,score
2298,-77700.8,32142.178,32142.178
2308,-77700.7,32142.172,32142.172
2336,-77701.31,32142.098,32142.098
2271,-77700.69,32142.066,32142.066
2255,-77701.96,32142.057,32142.057
2265,-77701.06,32142.041,32142.041
2278,-77700.95,32142.037,32142.037
2344,-77700.59,32142.035,32142.035
2251,-77701.234,32142.008,32142.008
2282,-77702.13,32141.91,32141.91
2452,-77701.82,32141.838,32141.838
2270,-77700.984,32141.836,32141.836
166,-77879.3,32141.078,32141.078
605,-77879.61,32141.076,32141.076
329,-77879.65,32141.076,32141.076
446,-77879.69,32141.074,32141.074
471,-77879.65,32141.072,32141.072
633,-77879.61,32141.072,32141.072
83,-77879.695,32141.07,32141.07
57,-77879.6,32141.07,32141.07
