pool_id,prediction,std,score
12872,-80925.81,102652.125,9.441034
2271,-80920.516,102642.94,9.440912
2308,-80920.16,102642.67,9.440912
2255,-80921.13,102643.09,9.440906
2298,-80920.14,102642.266,9.440903
421,-80951.77,102665.52,9.440902
523,-80952.1,102665.69,9.440901
412,-80952.6,102666.08,9.440901
110,-80952.01,102665.62,9.440901
276,-80952.7,102666.14,9.440901
222,-80952.734,102666.13,9.440901
69,-80952.64,102666.07,9.440901
256,-80951.734,102665.44,9.440901
675,-80952.78,102666.18,9.440901
2282,-80920.26,102642.21,9.4409
582,-80952.766,102666.125,9.4409
611,-80952.77,102666.16,9.4409
218,-80952.67,102666.055,9.4409
667,-80952.78,102666.164,9.4409
678,-80952.766,102666.13,9.4409
