Command,Sensor Data,Experiment ID,timestamp
"{'R': 15.0, 'Y': 15.0, 'B': 15.0, 'well': 'B2'}","{'ch583': 6097, 'ch670': 6357, 'ch510': 3838, 'ch410': 507, 'ch620': 8253, 'ch470': 2430, 'ch550': 5163, 'ch440': 2029}",236b1b73,2025-02-21 15:32:54.157
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B3'}","{'ch583': 6720, 'ch670': 6883, 'ch510': 4062, 'ch410': 547, 'ch620': 9034, 'ch470': 2580, 'ch550': 5586, 'ch440': 2178}",9aa2b26c,2025-02-21 15:35:16.984
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B4'}","{'ch583': 7187, 'ch670': 7374, 'ch510': 4187, 'ch410': 578, 'ch620': 9682, 'ch470': 2679, 'ch550': 5833, 'ch440': 2269}",2c515f23,2025-02-21 15:40:41.550
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B5'}","{'ch583': 7613, 'ch670': 7833, 'ch510': 4321, 'ch410': 608, 'ch620': 10292, 'ch470': 2780, 'ch550': 6079, 'ch440': 2345}",c8e25921,2025-02-21 15:43:38.232
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B6'}","{'ch583': 7530, 'ch670': 7869, 'ch510': 4474, 'ch410': 630, 'ch620': 10251, 'ch470': 2940, 'ch550': 6160, 'ch440': 2617}",53d722ca,2025-02-21 15:52:08.347
"{'R': 70.0, 'Y': 20.0, 'B': 15.0, 'well': 'B7'}","{'ch583': 7456, 'ch670': 7901, 'ch510': 4022, 'ch410': 595, 'ch620': 10303, 'ch470': 2665, 'ch550': 5735, 'ch440': 2293}",5c0a7f3e,2025-02-21 15:55:51.582
"{'R': 70.0, 'Y': 20.0, 'B': 135.0, 'well': 'B8'}","{'ch583': 6475, 'ch670': 7247, 'ch510': 3856, 'ch410': 555, 'ch620': 9112, 'ch470': 2585, 'ch550': 5295, 'ch440': 2247}",f02a4da6,2025-02-21 15:57:51.040
"{'R': 15.0, 'Y': 20.0, 'B': 15.0, 'well': 'B9'}","{'ch583': 7128, 'ch670': 7617, 'ch510': 4331, 'ch410': 603, 'ch620': 9835, 'ch470': 2840, 'ch550': 5908, 'ch440': 2452}",dc565699,2025-02-21 15:59:46.333
"{'R': 15.0, 'Y': 20.0, 'B': 70.0, 'well': 'B10'}","{'ch583': 6829, 'ch670': 7466, 'ch510': 4363, 'ch410': 598, 'ch620': 9498, 'ch470': 2886, 'ch550': 5790, 'ch440': 2507}",45315aec,2025-02-21 16:01:43.225
"{'R': 15.0, 'Y': 20.0, 'B': 125.0, 'well': 'B11'}","{'ch583': 6675, 'ch670': 7337, 'ch510': 4420, 'ch410': 597, 'ch620': 9245, 'ch470': 2944, 'ch550': 5750, 'ch440': 2556}",c3e44d8d,2025-02-21 16:03:40.092
"{'R': 125.0, 'Y': 20.0, 'B': 125.0, 'well': 'B12'}","{'ch583': 6800, 'ch670': 7407, 'ch510': 3980, 'ch410': 573, 'ch620': 9398, 'ch470': 2637, 'ch550': 5622, 'ch440': 2219}",a945b29e,2025-02-21 16:05:39.136
"{'R': 125.0, 'Y': 20.0, 'B': 15.0, 'well': 'C1'}","{'ch583': 5786, 'ch670': 6113, 'ch510': 3052, 'ch410': 451, 'ch620': 7952, 'ch470': 1991, 'ch550': 4381, 'ch440': 1660}",feb51a3d,2025-02-21 16:07:39.781
"{'R': 125.0, 'Y': 20.0, 'B': 70.0, 'well': 'C2'}","{'ch583': 5404, 'ch670': 6010, 'ch510': 2987, 'ch410': 442, 'ch620': 7622, 'ch470': 1976, 'ch550': 4201, 'ch440': 1680}",3baa5891,2025-02-21 16:09:41.138
"{'R': 70.0, 'Y': 20.0, 'B': 70.0, 'well': 'C3'}","{'ch583': 5443, 'ch670': 6137, 'ch510': 3073, 'ch410': 453, 'ch620': 7745, 'ch470': 2038, 'ch550': 4271, 'ch440': 1741}",3ede6d91,2025-02-21 16:11:41.027
"{'R': 125.0, 'Y': 45.0, 'B': 15.0, 'well': 'C4'}","{'ch583': 6110, 'ch670': 6741, 'ch510': 3073, 'ch410': 477, 'ch620': 8699, 'ch470': 2036, 'ch550': 4434, 'ch440': 1681}",9f6d3c31,2025-02-21 16:13:40.965
"{'R': 15.0, 'Y': 45.0, 'B': 125.0, 'well': 'C5'}","{'ch583': 5674, 'ch670': 6579, 'ch510': 3548, 'ch410': 489, 'ch620': 8185, 'ch470': 2288, 'ch550': 4624, 'ch440': 1868}",3547df06,2025-02-21 16:15:40.597
"{'R': 70.0, 'Y': 45.0, 'B': 125.0, 'well': 'C6'}","{'ch583': 5496, 'ch670': 6420, 'ch510': 3301, 'ch410': 472, 'ch620': 7954, 'ch470': 2164, 'ch550': 4453, 'ch440': 1776}",86da6859,2025-02-21 16:17:41.120
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B1'}","{'ch583': 6385, 'ch670': 6698, 'ch510': 3727, 'ch410': 513, 'ch620': 8621, 'ch470': 2390, 'ch550': 5260, 'ch440': 2004}",d42d2c72,2025-02-21 21:03:59.223
"{'R': 15.0, 'Y': 45.0, 'B': 15.0, 'well': 'B2'}","{'ch583': 6627, 'ch670': 7013, 'ch510': 3908, 'ch410': 521, 'ch620': 9080, 'ch470': 2393, 'ch550': 5436, 'ch440': 1908}",413efcfb,2025-02-21 21:05:56.462
"{'R': 125.0, 'Y': 45.0, 'B': 70.0, 'well': 'B3'}","{'ch583': 6374, 'ch670': 7015, 'ch510': 3507, 'ch410': 507, 'ch620': 8950, 'ch470': 2279, 'ch550': 4999, 'ch440': 1868}",c15ba266,2025-02-21 21:07:59.075
"{'R': 125.0, 'Y': 45.0, 'B': 125.0, 'well': 'B4'}","{'ch583': 6166, 'ch670': 6979, 'ch510': 3518, 'ch410': 505, 'ch620': 8761, 'ch470': 2298, 'ch550': 4941, 'ch440': 1891}",d4515432,2025-02-21 21:10:06.117
"{'R': 70.0, 'Y': 45.0, 'B': 15.0, 'well': 'B5'}","{'ch583': 7108, 'ch670': 7747, 'ch510': 3831, 'ch410': 564, 'ch620': 10018, 'ch470': 2493, 'ch550': 5478, 'ch440': 2050}",a2736aa0,2025-02-21 21:12:07.612
"{'R': 15.0, 'Y': 90.0, 'B': 125.0, 'well': 'B6'}","{'ch583': 6587, 'ch670': 7443, 'ch510': 4187, 'ch410': 556, 'ch620': 9335, 'ch470': 2632, 'ch550': 5519, 'ch440': 2091}",3c74bf00,2025-02-21 21:14:08.309
