Command,Sensor Data,Experiment ID,timestamp
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'B2'}","{'ch583': 5589, 'ch670': 6064, 'ch510': 3225, 'ch410': 448, 'ch620': 7673, 'ch470': 2025, 'ch550': 4552, 'ch440': 1574}",1091cae0,2025-02-20 14:33:52.436
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B3'}","{'ch583': 6545, 'ch670': 6752, 'ch510': 3864, 'ch410': 534, 'ch620': 8826, 'ch470': 2476, 'ch550': 5391, 'ch440': 2087}",f1784ed3,2025-02-20 14:37:03.355
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B4'}","{'ch583': 7185, 'ch670': 7357, 'ch510': 4263, 'ch410': 587, 'ch620': 9666, 'ch470': 2724, 'ch550': 5921, 'ch440': 2316}",5ac3af1f,2025-02-20 14:45:22.479
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B5'}","{'ch583': 7721, 'ch670': 7890, 'ch510': 4556, 'ch410': 631, 'ch620': 10380, 'ch470': 2919, 'ch550': 6344, 'ch440': 2496}",58ab408f,2025-02-20 15:02:09.350
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B6'}","{'ch583': 7912, 'ch670': 8077, 'ch510': 4691, 'ch410': 649, 'ch620': 10625, 'ch470': 3009, 'ch550': 6524, 'ch440': 2578}",54839cc4,2025-02-20 15:04:03.721
"{'R': 58, 'Y': 11, 'B': 231, 'well': 'B7'}","{'ch583': 6052, 'ch670': 6910, 'ch510': 3826, 'ch410': 540, 'ch620': 8495, 'ch470': 2575, 'ch550': 5102, 'ch440': 2223}",91400209,2025-02-20 15:09:13.545
"{'R': 164, 'Y': 81, 'B': 55, 'well': 'B8'}","{'ch583': 6342, 'ch670': 7081, 'ch510': 3426, 'ch410': 511, 'ch620': 8971, 'ch470': 2251, 'ch550': 4938, 'ch440': 1776}",1929aacd,2025-02-20 15:12:31.478
"{'R': 71, 'Y': 110, 'B': 119, 'well': 'B9'}","{'ch583': 6069, 'ch670': 6896, 'ch510': 3583, 'ch410': 505, 'ch620': 8606, 'ch470': 2277, 'ch550': 4974, 'ch440': 1753}",f2f882a6,2025-02-20 15:14:32.155
"{'R': 30, 'Y': 98, 'B': 172, 'well': 'B10'}","{'ch583': 5907, 'ch670': 6729, 'ch510': 3801, 'ch410': 507, 'ch620': 8343, 'ch470': 2371, 'ch550': 5046, 'ch440': 1811}",7d16da8b,2025-02-20 15:16:30.943
"{'R': 222, 'Y': 65, 'B': 13, 'well': 'B11'}","{'ch583': 6878, 'ch670': 7453, 'ch510': 3429, 'ch410': 534, 'ch620': 9666, 'ch470': 2243, 'ch550': 5077, 'ch440': 1769}",afdbc19d,2025-02-20 15:18:29.707
"{'R': 10, 'Y': 280, 'B': 10, 'well': 'B12'}","{'ch583': 7615, 'ch670': 7934, 'ch510': 4287, 'ch410': 584, 'ch620': 10399, 'ch470': 2467, 'ch550': 6202, 'ch440': 1805}",4d78228e,2025-02-20 15:20:29.267
"{'R': 114, 'Y': 15, 'B': 171, 'well': 'C1'}","{'ch583': 4855, 'ch670': 5434, 'ch510': 2815, 'ch410': 409, 'ch620': 6764, 'ch470': 1847, 'ch550': 3956, 'ch440': 1550}",906061f9,2025-02-20 15:22:31.534
"{'R': 10, 'Y': 251, 'B': 39, 'well': 'C2'}","{'ch583': 5130, 'ch670': 5674, 'ch510': 3103, 'ch410': 409, 'ch620': 7186, 'ch470': 1783, 'ch550': 4262, 'ch440': 1302}",187d7dec,2025-02-20 15:24:33.057
"{'R': 213, 'Y': 13, 'B': 74, 'well': 'C3'}","{'ch583': 5075, 'ch670': 5818, 'ch510': 2654, 'ch410': 409, 'ch620': 7304, 'ch470': 1734, 'ch550': 3855, 'ch440': 1407}",70240f03,2025-02-20 15:26:35.817
