Command,Sensor Data,Experiment ID,timestamp
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'B3'}","{'ch583': 6067, 'ch670': 6616, 'ch510': 3610, 'ch410': 492, 'ch620': 8413, 'ch470': 2342, 'ch550': 4964, 'ch440': 1934}",76dd60bc,2025-02-20 02:49:30.545
"{'R': 235.0, 'Y': 10.0, 'B': 55.0, 'well': 'B5'}","{'ch583': 6520, 'ch670': 7146, 'ch510': 3566, 'ch410': 529, 'ch620': 9168, 'ch470': 2407, 'ch550': 5084, 'ch440': 2065}",8679615d,2025-02-20 02:54:27.980
"{'R': 100.0, 'Y': 145.0, 'B': 55.0, 'well': 'B6'}","{'ch583': 6684, 'ch670': 7323, 'ch510': 3816, 'ch410': 539, 'ch620': 9385, 'ch470': 2479, 'ch550': 5341, 'ch440': 2028}",b64f50a6,2025-02-20 02:56:28.743
"{'R': 55.0, 'Y': 235.0, 'B': 10.0, 'well': 'B7'}","{'ch583': 7285, 'ch670': 7712, 'ch510': 4065, 'ch410': 565, 'ch620': 10065, 'ch470': 2529, 'ch550': 5764, 'ch440': 2002}",3a6524ce,2025-02-20 02:58:28.429
"{'R': 10.0, 'Y': 280.0, 'B': 10.0, 'well': 'B8'}","{'ch583': 7602, 'ch670': 7917, 'ch510': 4486, 'ch410': 586, 'ch620': 10370, 'ch470': 2599, 'ch550': 6303, 'ch440': 2001}",bdc1c2ec,2025-02-20 03:00:28.384
"{'R': 10.0, 'Y': 100.0, 'B': 190.0, 'well': 'B9'}","{'ch583': 6540, 'ch670': 7264, 'ch510': 4399, 'ch410': 557, 'ch620': 9129, 'ch470': 2700, 'ch550': 5671, 'ch440': 2152}",cd08d8c3,2025-02-20 03:02:29.184
"{'R': 145.0, 'Y': 145.0, 'B': 10.0, 'well': 'B10'}","{'ch583': 7642, 'ch670': 7999, 'ch510': 4061, 'ch410': 590, 'ch620': 10550, 'ch470': 2613, 'ch550': 5851, 'ch440': 2113}",b92c9891,2025-02-20 03:04:28.006
"{'R': 10.0, 'Y': 10.0, 'B': 280.0, 'well': 'B11'}","{'ch583': 6770, 'ch670': 7369, 'ch510': 4497, 'ch410': 604, 'ch620': 9311, 'ch470': 3008, 'ch550': 5808, 'ch440': 2634}",b506cc69,2025-02-20 03:06:26.746
"{'R': 280.0, 'Y': 10.0, 'B': 10.0, 'well': 'B12'}","{'ch583': 7958, 'ch670': 8250, 'ch510': 4159, 'ch410': 618, 'ch620': 10964, 'ch470': 2756, 'ch550': 6051, 'ch440': 2326}",204610d9,2025-02-20 03:08:26.481
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'C1'}","{'ch583': 5541, 'ch670': 5960, 'ch510': 3207, 'ch410': 444, 'ch620': 7643, 'ch470': 2049, 'ch550': 4460, 'ch440': 1681}",6d92f5ba,2025-02-20 03:10:28.451
