Command,Sensor Data,Experiment ID,timestamp
"{'R': 70.0, 'Y': 116.0, 'B': 17.0, 'well': 'E7'}","{'ch583': 4472, 'ch670': 5212, 'ch510': 2475, 'ch410': 369, 'ch620': 6544, 'ch470': 1576, 'ch550': 3462, 'ch440': 1227}",497b7801,2025-02-20 16:59:46.948
"{'R': 122.0, 'Y': 14.0, 'B': 43.0, 'well': 'E9'}","{'ch583': 4609, 'ch670': 5437, 'ch510': 2460, 'ch410': 387, 'ch620': 6807, 'ch470': 1625, 'ch550': 3518, 'ch440': 1330}",2c1395db,2025-02-20 17:03:43.842
"{'R': 176.0, 'Y': 41.0, 'B': 65.0, 'well': 'E11'}","{'ch583': 5029, 'ch670': 5839, 'ch510': 2676, 'ch410': 418, 'ch620': 7320, 'ch470': 1775, 'ch550': 3896, 'ch440': 1416}",2bf13148,2025-02-20 17:07:41.667
"{'R': 134.0, 'Y': 116.0, 'B': 16.0, 'well': 'F1'}","{'ch583': 4412, 'ch670': 4844, 'ch510': 2185, 'ch410': 340, 'ch620': 6253, 'ch470': 1410, 'ch550': 3203, 'ch440': 1114}",b38f5e1a,2025-02-20 17:11:42.846
"{'R': 11.0, 'Y': 67.0, 'B': 144.0, 'well': 'F3'}","{'ch583': 3383, 'ch670': 4090, 'ch510': 2154, 'ch410': 300, 'ch620': 4980, 'ch470': 1369, 'ch550': 2797, 'ch440': 1076}",aceff7a7,2025-02-20 17:15:44.586
"{'R': 78.0, 'Y': 39.0, 'B': 170.0, 'well': 'F5'}","{'ch583': 5632, 'ch670': 6360, 'ch510': 3512, 'ch410': 486, 'ch620': 7903, 'ch470': 2319, 'ch550': 4729, 'ch440': 1927}",a31c4dc3,2025-02-20 17:19:46.512
"{'R': 33.0, 'Y': 175.0, 'B': 56.0, 'well': 'B2'}","{'ch583': 5513, 'ch670': 5991, 'ch510': 3514, 'ch410': 450, 'ch620': 7630, 'ch470': 2091, 'ch550': 4687, 'ch440': 1572}",a6f41b9d,2025-02-20 17:23:51.158
"{'R': 184.0, 'Y': 51.0, 'B': 38.0, 'well': 'B3'}","{'ch583': 5724, 'ch670': 6301, 'ch510': 3031, 'ch410': 451, 'ch620': 8073, 'ch470': 1975, 'ch550': 4366, 'ch440': 1589}",eb97bb7d,2025-02-20 17:25:53.300
"{'R': 14.0, 'Y': 218.0, 'B': 14.0, 'well': 'B4'}","{'ch583': 6382, 'ch670': 6855, 'ch510': 3750, 'ch410': 499, 'ch620': 8857, 'ch470': 2187, 'ch550': 5218, 'ch440': 1633}",8526ae34,2025-02-20 17:27:54.549
"{'R': 77.0, 'Y': 41.0, 'B': 78.0, 'well': 'B5'}","{'ch583': 6225, 'ch670': 6943, 'ch510': 3634, 'ch410': 518, 'ch620': 8775, 'ch470': 2338, 'ch550': 5046, 'ch440': 1919}",d2468104,2025-02-20 17:29:54.382
