Command,Sensor Data,Experiment ID,timestamp
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'B2'}","{'ch583': 5763, 'ch670': 6368, 'ch510': 3381, 'ch410': 471, 'ch620': 8027, 'ch470': 2217, 'ch550': 4734, 'ch440': 1758}",a3268bc3,2025-02-28 00:09:49.813
"{'R': 0, 'Y': 0, 'B': 300, 'well': 'B3'}","{'ch583': 5539, 'ch670': 6235, 'ch510': 3941, 'ch410': 526, 'ch620': 7683, 'ch470': 2789, 'ch550': 4869, 'ch440': 2506}",d698a1b4,2025-02-28 00:28:06.602
"{'R': 0, 'Y': 300, 'B': 0, 'well': 'B4'}","{'ch583': 7096, 'ch670': 7337, 'ch510': 4564, 'ch410': 565, 'ch620': 9546, 'ch470': 2628, 'ch550': 6226, 'ch440': 1987}",594fe98a,2025-02-28 00:30:04.791
"{'R': 0, 'Y': 150, 'B': 150, 'well': 'B5'}","{'ch583': 6461, 'ch670': 7161, 'ch510': 4621, 'ch410': 556, 'ch620': 8978, 'ch470': 2732, 'ch550': 5825, 'ch440': 2061}",24474598,2025-02-28 00:33:06.136
"{'R': 300, 'Y': 0, 'B': 0, 'well': 'B6'}","{'ch583': 7260, 'ch670': 7880, 'ch510': 3737, 'ch410': 570, 'ch620': 10269, 'ch470': 2485, 'ch550': 5427, 'ch440': 2038}",06161bba,2025-02-28 00:34:45.620
"{'R': 150, 'Y': 0, 'B': 150, 'well': 'B7'}","{'ch583': 6313, 'ch670': 7240, 'ch510': 3615, 'ch410': 542, 'ch620': 9017, 'ch470': 2468, 'ch550': 5122, 'ch440': 2119}",df463e5b,2025-02-28 00:37:10.732
"{'R': 150, 'Y': 150, 'B': 0, 'well': 'B8'}","{'ch583': 7326, 'ch670': 7926, 'ch510': 3700, 'ch410': 566, 'ch620': 10313, 'ch470': 2448, 'ch550': 5442, 'ch440': 1916}",13441cff,2025-02-28 00:40:08.850
"{'R': 100, 'Y': 100, 'B': 100, 'well': 'B9'}","{'ch583': 6869, 'ch670': 7685, 'ch510': 3899, 'ch410': 566, 'ch620': 9730, 'ch470': 2574, 'ch550': 5511, 'ch440': 2050}",bbf573ae,2025-02-28 00:43:09.725
"{'R': 0, 'Y': 200, 'B': 100, 'well': 'B10'}","{'ch583': 6948, 'ch670': 7683, 'ch510': 4549, 'ch410': 583, 'ch620': 9741, 'ch470': 2732, 'ch550': 6030, 'ch440': 2060}",b7633d32,2025-02-28 00:45:18.609
"{'R': 200, 'Y': 0, 'B': 100, 'well': 'B11'}","{'ch583': 7023, 'ch670': 7748, 'ch510': 3942, 'ch410': 586, 'ch620': 9846, 'ch470': 2633, 'ch550': 5688, 'ch440': 2210}",39bf8a38,2025-02-28 00:47:28.334
"{'R': 120, 'Y': 120, 'B': 60, 'well': 'B12'}","{'ch583': 7466, 'ch670': 8042, 'ch510': 4121, 'ch410': 602, 'ch620': 10357, 'ch470': 2695, 'ch550': 5994, 'ch440': 2116}",d27a580b,2025-02-28 00:49:58.599
"{'R': 0, 'Y': 100, 'B': 200, 'well': 'C1'}","{'ch583': 4831, 'ch670': 5476, 'ch510': 3411, 'ch410': 424, 'ch620': 6759, 'ch470': 2104, 'ch550': 4252, 'ch440': 1608}",ab7b4427,2025-02-28 00:51:56.653
"{'R': 200, 'Y': 100, 'B': 0, 'well': 'C2'}","{'ch583': 5246, 'ch670': 5827, 'ch510': 2790, 'ch410': 414, 'ch620': 7475, 'ch470': 1802, 'ch550': 3957, 'ch440': 1402}",b546b0d7,2025-02-28 00:53:58.582
"{'R': 120, 'Y': 60, 'B': 120, 'well': 'C3'}","{'ch583': 4663, 'ch670': 5554, 'ch510': 2766, 'ch410': 397, 'ch620': 6804, 'ch470': 1810, 'ch550': 3786, 'ch440': 1445}",4596a72b,2025-02-28 00:56:40.061
"{'R': 100, 'Y': 0, 'B': 200, 'well': 'C4'}","{'ch583': 4598, 'ch670': 5582, 'ch510': 2823, 'ch410': 412, 'ch620': 6745, 'ch470': 1895, 'ch550': 3812, 'ch440': 1615}",7aa3a4f5,2025-02-28 00:58:35.570
"{'R': 100, 'Y': 200, 'B': 0, 'well': 'C5'}","{'ch583': 5845, 'ch670': 6624, 'ch510': 3104, 'ch410': 463, 'ch620': 8437, 'ch470': 1985, 'ch550': 4429, 'ch440': 1529}",3ebddfe1,2025-02-28 01:01:21.272
"{'R': 60, 'Y': 120, 'B': 120, 'well': 'C6'}","{'ch583': 5355, 'ch670': 6402, 'ch510': 3157, 'ch410': 456, 'ch620': 7885, 'ch470': 2034, 'ch550': 4314, 'ch440': 1587}",6341f793,2025-02-28 01:03:53.308
"{'R': 150, 'Y': 75, 'B': 75, 'well': 'C7'}","{'ch583': 5282, 'ch670': 6395, 'ch510': 2858, 'ch410': 445, 'ch620': 7875, 'ch470': 1911, 'ch550': 4069, 'ch440': 1514}",42e002a7,2025-02-28 01:06:21.074
"{'R': 75, 'Y': 150, 'B': 75, 'well': 'C8'}","{'ch583': 5368, 'ch670': 6460, 'ch510': 3023, 'ch410': 451, 'ch620': 7971, 'ch470': 1963, 'ch550': 4240, 'ch440': 1507}",dcbf98a6,2025-02-28 01:08:48.926
"{'R': 75, 'Y': 75, 'B': 150, 'well': 'C9'}","{'ch583': 5196, 'ch670': 6278, 'ch510': 3121, 'ch410': 454, 'ch620': 7658, 'ch470': 2044, 'ch550': 4275, 'ch440': 1608}",2f3b69c0,2025-02-28 01:11:35.738
"{'R': 250, 'Y': 50, 'B': 0, 'well': 'C10'}","{'ch583': 6137, 'ch670': 7029, 'ch510': 3103, 'ch410': 494, 'ch620': 8969, 'ch470': 2095, 'ch550': 4554, 'ch440': 1667}",6232a6b3,2025-02-28 01:13:31.854
"{'R': 250, 'Y': 0, 'B': 50, 'well': 'C11'}","{'ch583': 6276, 'ch670': 7221, 'ch510': 3235, 'ch410': 515, 'ch620': 9131, 'ch470': 2211, 'ch550': 4753, 'ch440': 1819}",18043bd9,2025-02-28 01:15:27.548
"{'R': 50, 'Y': 250, 'B': 0, 'well': 'C12'}","{'ch583': 7345, 'ch670': 7907, 'ch510': 3848, 'ch410': 569, 'ch620': 10274, 'ch470': 2440, 'ch550': 5683, 'ch440': 1849}",885055ae,2025-02-28 01:17:26.829
"{'R': 50, 'Y': 0, 'B': 250, 'well': 'D1'}","{'ch583': 4311, 'ch670': 5035, 'ch510': 2790, 'ch410': 393, 'ch620': 6113, 'ch470': 1921, 'ch550': 3657, 'ch440': 1698}",c99bd00a,2025-02-28 01:19:31.351
"{'R': 0, 'Y': 250, 'B': 50, 'well': 'D2'}","{'ch583': 4505, 'ch670': 5192, 'ch510': 2952, 'ch410': 377, 'ch620': 6464, 'ch470': 1744, 'ch550': 3865, 'ch440': 1303}",10a42d63,2025-02-28 01:21:37.145
"{'R': 0, 'Y': 50, 'B': 250, 'well': 'D3'}","{'ch583': 4078, 'ch670': 4945, 'ch510': 2872, 'ch410': 372, 'ch620': 5946, 'ch470': 1842, 'ch550': 3534, 'ch440': 1473}",828591fa,2025-02-28 01:23:43.262
