Command,Sensor Data,Experiment ID,timestamp
"{'R': 10, 'Y': 10, 'B': 10, 'well': 'B2'}","{'ch583': 6188, 'ch670': 6641, 'ch510': 3997, 'ch410': 543, 'ch620': 8488, 'ch470': 2684, 'ch550': 5336, 'ch440': 2387}",8e5cbf56,2025-02-22 00:15:45.364
"{'R': 71.0, 'Y': 67.0, 'B': 162.0, 'well': 'B3'}","{'ch583': 5711, 'ch670': 6491, 'ch510': 3585, 'ch410': 488, 'ch620': 8032, 'ch470': 2360, 'ch550': 4829, 'ch440': 1922}",207dbe65,2025-02-22 00:20:16.594
"{'R': 111.0, 'Y': 98.0, 'B': 91.0, 'well': 'B4'}","{'ch583': 6044, 'ch670': 6836, 'ch510': 3530, 'ch410': 499, 'ch620': 8549, 'ch470': 2315, 'ch550': 4927, 'ch440': 1844}",a4feab18,2025-02-22 00:22:19.296
"{'R': 38.0, 'Y': 130.0, 'B': 132.0, 'well': 'B5'}","{'ch583': 6144, 'ch670': 7009, 'ch510': 3893, 'ch410': 522, 'ch620': 8707, 'ch470': 2460, 'ch550': 5227, 'ch440': 1898}",2f4dd7f6,2025-02-22 00:24:21.399
"{'R': 136.0, 'Y': 136.0, 'B': 28.0, 'well': 'B6'}","{'ch583': 6739, 'ch670': 7495, 'ch510': 3645, 'ch410': 540, 'ch620': 9557, 'ch470': 2385, 'ch550': 5221, 'ch440': 1877}",e3109a09,2025-02-22 00:26:23.149
"{'R': 120.0, 'Y': 159.0, 'B': 21.0, 'well': 'B7'}","{'ch583': 6984, 'ch670': 7749, 'ch510': 3670, 'ch410': 549, 'ch620': 9919, 'ch470': 2401, 'ch550': 5307, 'ch440': 1880}",a1717e6a,2025-02-22 00:28:24.674
"{'R': 78.0, 'Y': 72.0, 'B': 150.0, 'well': 'B8'}","{'ch583': 6274, 'ch670': 7259, 'ch510': 3717, 'ch410': 536, 'ch620': 8989, 'ch470': 2457, 'ch550': 5145, 'ch440': 1980}",6631bdc3,2025-02-22 00:30:25.806
"{'R': 11.0, 'Y': 99.0, 'B': 190.0, 'well': 'B9'}","{'ch583': 6095, 'ch670': 7028, 'ch510': 4055, 'ch410': 538, 'ch620': 8654, 'ch470': 2590, 'ch550': 5281, 'ch440': 2025}",f8c5eb62,2025-02-22 00:32:26.573
"{'R': 19.0, 'Y': 174.0, 'B': 107.0, 'well': 'B10'}","{'ch583': 6436, 'ch670': 7256, 'ch510': 4251, 'ch410': 546, 'ch620': 9072, 'ch470': 2580, 'ch550': 5619, 'ch440': 1941}",e0584086,2025-02-22 00:34:27.098
"{'R': 244.0, 'Y': 11.0, 'B': 45.0, 'well': 'B11'}","{'ch583': 6911, 'ch670': 7676, 'ch510': 3726, 'ch410': 562, 'ch620': 9776, 'ch470': 2471, 'ch550': 5421, 'ch440': 2003}",25b14383,2025-02-22 00:36:27.105
"{'R': 31.0, 'Y': 209.0, 'B': 60.0, 'well': 'B12'}","{'ch583': 7404, 'ch670': 8013, 'ch510': 4381, 'ch410': 599, 'ch620': 10272, 'ch470': 2689, 'ch550': 6175, 'ch440': 2038}",168a81a9,2025-02-22 00:38:26.776
"{'R': 204.0, 'Y': 23.0, 'B': 73.0, 'well': 'C1'}","{'ch583': 4993, 'ch670': 5695, 'ch510': 2658, 'ch410': 405, 'ch620': 7128, 'ch470': 1790, 'ch550': 3842, 'ch440': 1467}",3b866df1,2025-02-22 00:40:30.724
"{'R': 23.0, 'Y': 108.0, 'B': 169.0, 'well': 'C2'}","{'ch583': 4388, 'ch670': 5273, 'ch510': 2857, 'ch410': 382, 'ch620': 6382, 'ch470': 1808, 'ch550': 3715, 'ch440': 1382}",55fbe458,2025-02-22 00:42:34.454
"{'R': 187.0, 'Y': 90.0, 'B': 23.0, 'well': 'C3'}","{'ch583': 4846, 'ch670': 5711, 'ch510': 2525, 'ch410': 391, 'ch620': 7136, 'ch470': 1661, 'ch550': 3620, 'ch440': 1292}",80d21c51,2025-02-22 00:44:37.242
"{'R': 143.0, 'Y': 109.0, 'B': 48.0, 'well': 'C4'}","{'ch583': 4937, 'ch670': 5949, 'ch510': 2586, 'ch410': 403, 'ch620': 7362, 'ch470': 1699, 'ch550': 3707, 'ch440': 1305}",431016dc,2025-02-22 00:46:40.141
"{'R': 83.0, 'Y': 54.0, 'B': 163.0, 'well': 'C5'}","{'ch583': 4726, 'ch670': 5871, 'ch510': 2788, 'ch410': 416, 'ch620': 7071, 'ch470': 1848, 'ch550': 3811, 'ch440': 1477}",87dad248,2025-02-22 00:48:42.436
"{'R': 101.0, 'Y': 146.0, 'B': 53.0, 'well': 'C6'}","{'ch583': 5178, 'ch670': 6226, 'ch510': 2832, 'ch410': 427, 'ch620': 7700, 'ch470': 1823, 'ch550': 4005, 'ch440': 1387}",74ce6833,2025-02-22 00:50:44.696
"{'R': 44.0, 'Y': 115.0, 'B': 141.0, 'well': 'C7'}","{'ch583': 4892, 'ch670': 6002, 'ch510': 2963, 'ch410': 425, 'ch620': 7281, 'ch470': 1877, 'ch550': 4012, 'ch440': 1415}",dfda292d,2025-02-22 00:52:46.651
"{'R': 166.0, 'Y': 15.0, 'B': 119.0, 'well': 'C8'}","{'ch583': 4877, 'ch670': 5966, 'ch510': 2801, 'ch410': 426, 'ch620': 7238, 'ch470': 1867, 'ch550': 3935, 'ch440': 1511}",560cff5f,2025-02-22 00:54:48.164
"{'R': 51.0, 'Y': 163.0, 'B': 86.0, 'well': 'C9'}","{'ch583': 5348, 'ch670': 6324, 'ch510': 3275, 'ch410': 458, 'ch620': 7801, 'ch470': 2057, 'ch550': 4456, 'ch440': 1568}",5bda6cfd,2025-02-22 00:56:49.082
"{'R': 63.0, 'Y': 134.0, 'B': 103.0, 'well': 'C10'}","{'ch583': 5407, 'ch670': 6413, 'ch510': 3337, 'ch410': 471, 'ch620': 7885, 'ch470': 2128, 'ch550': 4531, 'ch440': 1656}",285a04de,2025-02-22 00:58:49.880
"{'R': 93.0, 'Y': 28.0, 'B': 179.0, 'well': 'C11'}","{'ch583': 5639, 'ch670': 6563, 'ch510': 3385, 'ch410': 491, 'ch620': 8078, 'ch470': 2245, 'ch550': 4717, 'ch440': 1837}",45fec426,2025-02-22 01:00:49.967
"{'R': 157.0, 'Y': 129.0, 'B': 14.0, 'well': 'C12'}","{'ch583': 6732, 'ch670': 7419, 'ch510': 3485, 'ch410': 532, 'ch620': 9538, 'ch470': 2288, 'ch550': 5149, 'ch440': 1768}",4cd69fe8,2025-02-22 01:02:49.700
"{'R': 280.0, 'Y': 10.0, 'B': 10.0, 'well': 'D1'}","{'ch583': 4966, 'ch670': 5649, 'ch510': 2474, 'ch410': 391, 'ch620': 7181, 'ch470': 1665, 'ch550': 3606, 'ch440': 1363}",565d17b8,2025-02-22 01:04:53.372
"{'R': 10.0, 'Y': 280.0, 'B': 10.0, 'well': 'D2'}","{'ch583': 4871, 'ch670': 5586, 'ch510': 2759, 'ch410': 387, 'ch620': 7043, 'ch470': 1643, 'ch550': 3848, 'ch440': 1233}",7eed14da,2025-02-22 01:06:56.497
"{'R': 10.0, 'Y': 10.0, 'B': 280.0, 'well': 'D3'}","{'ch583': 3848, 'ch670': 4834, 'ch510': 2527, 'ch410': 358, 'ch620': 5725, 'ch470': 1698, 'ch550': 3202, 'ch440': 1418}",f9f06c2d,2025-02-22 01:08:59.281
