Command,Sensor Data,Experiment ID,timestamp
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'B1'}","{'ch583': 5584, 'ch670': 6053, 'ch510': 3220, 'ch410': 446, 'ch620': 7691, 'ch470': 2063, 'ch550': 4524, 'ch440': 1630}",3df774e3,2025-02-20 20:44:46.241
"{'R': 100.0, 'Y': 100.0, 'B': 100.0, 'well': 'B2'}","{'ch583': 5363, 'ch670': 5967, 'ch510': 3105, 'ch410': 435, 'ch620': 7511, 'ch470': 2008, 'ch550': 4326, 'ch440': 1601}",cd9e0e31,2025-02-20 20:55:05.706
"{'R': 30.0, 'Y': 60.0, 'B': 30.0, 'well': 'B3'}","{'ch583': 6035, 'ch670': 6504, 'ch510': 3583, 'ch410': 487, 'ch620': 8358, 'ch470': 2264, 'ch550': 4933, 'ch440': 1815}",0f4118e1,2025-02-20 20:57:04.600
"{'R': 30.0, 'Y': 30.0, 'B': 60.0, 'well': 'B4'}","{'ch583': 6136, 'ch670': 6736, 'ch510': 3789, 'ch410': 513, 'ch620': 8552, 'ch470': 2437, 'ch550': 5106, 'ch440': 2005}",5d880d90,2025-02-20 20:59:03.256
"{'R': 30.0, 'Y': 90.0, 'B': 30.0, 'well': 'B5'}","{'ch583': 6802, 'ch670': 7323, 'ch510': 4046, 'ch410': 548, 'ch620': 9423, 'ch470': 2518, 'ch550': 5569, 'ch440': 2000}",16f71e99,2025-02-20 21:01:02.332
"{'R': 30.0, 'Y': 30.0, 'B': 90.0, 'well': 'B6'}","{'ch583': 6371, 'ch670': 7105, 'ch510': 4065, 'ch410': 549, 'ch620': 8939, 'ch470': 2621, 'ch550': 5380, 'ch440': 2181}",a13bc6e8,2025-02-20 21:03:01.144
"{'R': 30.0, 'Y': 90.0, 'B': 60.0, 'well': 'B7'}","{'ch583': 6510, 'ch670': 7198, 'ch510': 4095, 'ch410': 543, 'ch620': 9116, 'ch470': 2557, 'ch550': 5475, 'ch440': 2027}",e77a6338,2025-02-20 21:04:59.839
"{'R': 30.0, 'Y': 60.0, 'B': 90.0, 'well': 'B8'}","{'ch583': 6362, 'ch670': 7093, 'ch510': 4089, 'ch410': 540, 'ch620': 8919, 'ch470': 2581, 'ch550': 5409, 'ch440': 2073}",7e4ebd1a,2025-02-20 21:06:58.262
"{'R': 30.0, 'Y': 60.0, 'B': 60.0, 'well': 'B9'}","{'ch583': 6601, 'ch670': 7268, 'ch510': 4145, 'ch410': 554, 'ch620': 9221, 'ch470': 2604, 'ch550': 5561, 'ch440': 2089}",20eb558b,2025-02-20 21:08:55.800
"{'R': 30.0, 'Y': 90.0, 'B': 90.0, 'well': 'B10'}","{'ch583': 6454, 'ch670': 7190, 'ch510': 4148, 'ch410': 549, 'ch620': 9043, 'ch470': 2596, 'ch550': 5499, 'ch440': 2064}",b4abfc64,2025-02-20 21:10:54.408
"{'R': 60.0, 'Y': 30.0, 'B': 30.0, 'well': 'B11'}","{'ch583': 7103, 'ch670': 7615, 'ch510': 4058, 'ch410': 577, 'ch620': 9810, 'ch470': 2614, 'ch550': 5727, 'ch440': 2132}",8dc9650d,2025-02-20 21:12:50.584
"{'R': 60.0, 'Y': 60.0, 'B': 30.0, 'well': 'B12'}","{'ch583': 7609, 'ch670': 7993, 'ch510': 4204, 'ch410': 604, 'ch620': 10434, 'ch470': 2702, 'ch550': 6048, 'ch440': 2180}",06a6f366,2025-02-20 21:14:47.076
"{'R': 60.0, 'Y': 30.0, 'B': 60.0, 'well': 'C1'}","{'ch583': 5165, 'ch670': 5660, 'ch510': 2974, 'ch410': 422, 'ch620': 7203, 'ch470': 1923, 'ch550': 4149, 'ch440': 1578}",6ad27255,2025-02-20 21:16:47.656
"{'R': 60.0, 'Y': 90.0, 'B': 30.0, 'well': 'C2'}","{'ch583': 5157, 'ch670': 5745, 'ch510': 2855, 'ch410': 411, 'ch620': 7307, 'ch470': 1813, 'ch550': 4017, 'ch440': 1427}",c563f33d,2025-02-20 21:18:48.249
"{'R': 60.0, 'Y': 30.0, 'B': 90.0, 'well': 'C3'}","{'ch583': 4894, 'ch670': 5679, 'ch510': 2903, 'ch410': 414, 'ch620': 7058, 'ch470': 1886, 'ch550': 3954, 'ch440': 1553}",92bcd3bb,2025-02-20 21:20:48.691
