sis_id,Pool_index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,score,ucb_norm,d_norm,cs_norm,coverage_norm,y_pred,y_uncert,scientist_id,community_score
ansarir5,4389,118.5454437,0.059395802,0.9890402,-0.321388209,0.210456008,0.0,0.828031234,0.027482135,19.5914,0.70160185,2.1126,0.425191437,0.49499787970298587,0.4797625847752483,0.3427194582867232,0.9999999999976809,0.0027700830733342996,0.5052731155912826,2.6547061846876253e-06,proposals_10,4308.273861839716
ansarir5,11011,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.5554,0.773794051,2.3477,0.721963789,0.48120155408403437,0.9520443515638797,0.0009425564632504125,0.0005052378606945455,0.9999999894736843,0.9543950956749958,2.65468850073461e-06,"proposals_2,proposals_9",-1.4307371890518303
ansarir5,7965,21.87543353,0.203124293,0.860299229,-0.250770029,0.094457518,1.704205842,0.234684732,0.030514227,27.595,0.911936748,2.7953,0.62377019,0.4553905153743981,0.7957798454152288,0.1229083251253327,0.001030403616691619,0.9999999894736843,0.8057934994293539,2.6546988163881847e-06,"proposals_11,proposals_13,proposals_4",0.8337161723984107
ansarir5,9095,34.68214523,0.154164329,0.943583222,-0.248150358,0.172803473,1.804301016,0.17704726,0.033430775,26.6598,0.830915066,2.7555,0.633882941,0.43866574232795486,0.8118732281280202,0.0457140791327769,0.0010111419477263589,0.9999999894736843,0.8210976936916397,2.6547032373703033e-06,"proposals_11,proposals_13",0.7506621070153505
ansarir5,8016,40.97236858,0.197696346,0.853889487,-0.208734515,0.050963739,1.573337351,0.186268554,0.0281599,27.3782,0.829842528,2.7386,0.607137129,0.4364060948732391,0.7693100731376603,0.0946893048137889,0.0013763761333492927,0.9999999894736843,0.78062175370829,2.6547047110293734e-06,"proposals_10,proposals_13",2.325509228911475
ansarir5,10746,42.99143085,0.134212593,0.982486724,-0.235555949,0.240205863,1.660932081,0.140905876,0.034106388,26.6708,0.773411151,2.4511,0.730531568,0.417815593336772,0.9656793825523767,0.005433852983444103,0.000445616656109702,0.2982456108956602,0.9673614910124881,2.6547061846876253e-06,"proposals_2,proposals_3",-1.6878168550318295
ansarir5,11002,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.5503,0.773794051,2.3438,0.737187135,0.4118808584446458,0.976271112195906,0.0010645461109391962,2.0918783043592588e-06,0.21052631357340723,0.9774338226732434,2.6547032373703033e-06,proposals_2,-3.600243860256017
ansarir5,10786,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.6509,0.773794051,2.356,0.752098539,0.41003221110607824,0.9999999894843319,0.00018494732690954073,0.0010114756346791174,0.09774435987336763,0.9999990816431988,2.654679658713927e-06,proposals_9,0.7521009261561976
ansarir5,11001,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.6426,0.773794051,2.4004,0.734291011,0.4098156894234179,0.9716621116100538,0.00029718822607221947,4.528477117009051e-05,0.21052631357340723,0.9730508385905561,2.654700290049709e-06,proposals_2,-3.4140011543604896
ansarir5,11007,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.5472,0.773794051,2.3577,0.732472799,0.40882230255146995,0.968768230344949,0.0008745968538319738,0.0,0.21052631357340723,0.9702988677153249,2.6546826060574267e-06,proposals_2,-3.609263795017486
ansarir5,10798,43.02457975,0.136736047,0.982875458,-0.232548565,0.229634468,1.650361572,0.140294561,0.034638711,26.4614,0.773222234,2.3842,0.73041956,0.4034427685912884,0.9655011336810374,0.004284750780512261,0.0008370818335708965,0.15789473518005545,0.9671919831366669,2.6546988163881847e-06,proposals_3,0.0001352379406157
ansarir5,10831,39.26996062,0.137657801,0.995179055,-0.225926926,0.257117768,1.659745649,0.143707939,0.033892173,26.673,0.774715067,2.3539,0.746962894,0.4019437186811961,0.9918281148304544,0.010853324545784731,0.001010447194169044,0.017543859464450598,0.9922279398986176,2.6547091320016753e-06,proposals_11,0.7476664108750821
ansarir5,10690,40.88096884,0.14315575,0.989589031,-0.224355164,0.2421285,1.676923853,0.143021818,0.033254094,26.6587,0.774482772,2.377,0.747138326,0.40105128396231376,0.9921072963472791,0.007506234369114732,0.0010105458311128735,0.017543859464450598,0.9924934308924406,2.6547091320016753e-06,proposals_11,0.7480917218487468
ansarir5,10740,42.24294959,0.135128927,0.981001505,-0.231707458,0.236369681,1.647463412,0.141645277,0.034196164,26.6799,0.774128013,2.3725,0.727114622,0.40100333870203114,0.9602416715880693,0.0031658251799047293,0.0008372449741323318,0.15789473518005545,0.9621904348860187,2.6547150266199585e-06,proposals_3,0.000838680974577
ansarir5,11012,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.6499,0.773794051,2.3496,0.736543761,0.40016577408085324,0.9752484748398572,0.000298843920949043,0.0010114749064444016,0.09774435987336763,0.9764613335127335,2.654687027066541e-06,proposals_9,0.7520977860932153
ansarir5,11006,40.95045646,0.136220697,0.981807122,-0.233497421,0.233883539,1.663178766,0.141166847,0.034264798,26.6342,0.773794051,2.3512,0.734982691,0.39918770535254877,0.9727626781748151,0.0003530140747872762,0.0010114693642490488,0.09774435987336763,0.9740974354823517,2.6547061846876253e-06,proposals_9,0.7520738887945947
